tconst,primaryTitle,startYear,genres,lead_actors_ids,runtimeMinutes,averageRating,Language,Country,numVotes,budget,BoxOffice,plot
tt0000502,Bohemios,1905.0,[],"['nm0215752', 'nm0252720']",100.0,3.5,,,26.0,,,
tt0005039,Business Is Business,1915.0,['Drama'],"['nm0329522', 'nm0625424', 'nm0730416', 'nm0627617', 'nm0687031']",60.0,,Silent film English intertitles,United States,,,,"Plaid Jabbs arrives at a hotel at Pumpkinville. Finding an invitation from his friend, Billy Bean, to attend afternoon tea hosted by his sister, Jabbs sends his only suit to the tailor for pressing . The tailor's shop promptly burns down with his suit in it. Loos Pokes breaks into the hotel through a rear window and enters the room where Jabbs is contemplating his predicament. Jabbs hides as the burglar approaches, but pounces on Pokes to rob him of his dress suit . He dashes off for afternoon tea, leaving Pokes in the hotel room wearing only his underwear. Pokes looks for a way to escape the hotel. Entering various rooms, he startles and alarms the hotel guests. Seeking to make his getaway down the fire escape, he has a large crowd at his heels chasing him. They are soon joined by the police."
tt0007751,Broadway Jones,1917.0,['Comedy'],"['nm0169125', 'nm0060238', 'nm0448696', 'nm0806961', 'nm0209454']",60.0,,Silent (English intertitles ),United States,,,,"Broadway Jones is a lost [ 1 ] 1917 American silent comedy film directed by Joseph Kaufman and starring George M. Cohan , in his film debut, in a motion picture based on his 1912 play, Broadway Jones . [ 2 ] [ 3 ] [ 4 ] Though no known copies survive of the film, a 1931 Paramount promotional film, The House That Shadows Built , contains a clip of Cohan which may be from either Broadway Jones or one of two other lost Cohan silent films from around the same time."
tt0007754,Brottmålsdomaren,1917.0,['Drama'],"['nm0023603', 'nm0088382', 'nm0761320']",68.0,,,,,,,
tt0008913,Borrowed Clothes,1918.0,['Drama'],"['nm0168595', 'nm0081361', 'nm0629589']",60.0,,,,,,,
tt0008915,Bound in Morocco,1918.0,"['Action', 'Comedy', 'Romance']","['nm0001196', 'nm0551222', 'nm0132955', 'nm0245416', 'nm0122668']",64.0,6.4,Silent (English intertitles ),United States,29.0,,,"As described in a film magazine , [ 3 ] George Travelwell, an American youth motoring in Morocco, discovers that the governor of El Harib has seized a young American woman for his harem . Disguised as an inmate of the harem, George nearly wrecks the place while he rescues her. One thrilling incident follows upon the heels of another in their attempts to get away, and it ends with him setting one tribe against another, leaving them free to peacefully ride away."
tt0008923,Bread,1918.0,"['Drama', 'Romance']","['nm0147692', 'nm0363218', 'nm0607231']",60.0,6.6,Silent English intertitles,United States,77.0,,,"The film follows a woman attempting to pull herself out of poverty as she's savagely exploited by men. Whilst the film ends abruptly, the remainder of the plot has been recorded."
tt0008930,Broadway Love,1918.0,['Romance'],"['nm0832968', 'nm0902698', 'nm0151606']",60.0,5.8,Silent ( English intertitles ),United States,208.0,,,"The film follows the story of Midge O'Hara, a young country girl who leaves home in order to perform on Broadway. She is able to get hired as a chorus girl, and, at her new job, she meets Cherry Blow, a party girl and gold digger. Cherry dates one man, staying with him until his cash runs out, at which time she leaves for someone else who is wealthy. One of these men is Jack Chalvey, whom Cherry had dated until her expensive tastes left him in debt. After meeting Midge, Jack, who has become depressed and almost commits suicide, reforms his life and also begins to take interest in her. However, Midge's own life becomes more complicated when her hayseed boyfriend from the country, Elmer Watkins (Lon Chaney), comes into town to propose to her. Midge discourages Elmer and he goes off and marries another woman. To make matters worse, wealthy millionaire Henry Rockwell begins pursuing her as well. Midge prevents the despondent Jack from killing himself at a party, but she gets soaking wet in a rainstorm accomplishing this. Rockwell offers to help the dripping wet Midge to get home from the party. Sharing a cab ride with her to her apartment, Rockwell attempts to embrace Midge in the back seat, and he causes her to fall out of the cab and injure herself. He later proposes to her at the hospital, and Cherry winds up getting back together with Jack in the end. [ 4 ]"
tt0009950,Bolshevism on Trial,1919.0,['Drama'],"['nm0292537', 'nm0832955', 'nm0874124', 'nm0767313', 'nm0822052']",70.0,5.3,Silent (English intertitles ),United States,68.0,,,"Barbara Bozenta, a wealthy female socialite intent on reforming capitalism is lured into the Socialist cause by Herman Wolff, a Socialist agitator. Her concerned boyfriend Norman Worth, a World War I veteran wounded in combat, hears her lecture on the virtues of international socialism and is converted to her views. Prompted by Herman, she raises money among her wealthy friends to buy Paradise Island off the Florida coast to establish a collective colony, a society of ""happiness and plenty."" Norman tries to raise money from his father and is rebuffed. His father expects Norman will benefit from the experience: ""He'll get his island and a lesson along with it."" When the wealthy colonists settled on their island, they elect Norman their ""Chief Comrade."" They quickly discover that none of them has any worthwhile skills. Most identify themselves as ""assistant managers."" Faced with disorganization, the colonists replace Norman with Herman, as the activist had long intended. He establishes a police force , abolishes marriage , and has the state assume ownership of the women and children. He imprisons Norman, which prompts Barbara's epiphany: ""The poor deluded people will starve and die as they are in Russia .""  She rejects Herman's advances and Norman's father arrives at the head of a U.S. Navy fleet to save the day. Norman lowers the red flag and raises the American flag to general cheers. [ 3 ]"
tt0009956,Bound and Gagged,1919.0,"['Action', 'Adventure', 'Comedy']","['nm0782707', 'nm0783763', 'nm0715001', 'nm1027262', 'nm0329565']",200.0,,Silent (English intertitles ),United States,,,,"Bound and Gagged is a 1919 American silent film serial produced by George B. Seitz Productions and distributed by Pathé . It was a spoof of the clichéd melodramatic serials of the era. It was shot in Fort Lee, New Jersey when many early film studios in America's first motion picture industry were based there at the beginning of the 20th century. [ 1 ] [ 2 ] [ 3 ]"
tt0009968,Broken Blossoms,1919.0,"['Drama', 'Romance']","['nm0001932', 'nm0187981', 'nm0397126', 'nm0081361', 'nm0073239']",90.0,7.2,Silent (English intertitles ),U.S.,11784.0,,1.25,"Cheng Huan leaves his native China because he ""dreams to spread the gentle message of Buddha to the Anglo-Saxon lands."" His idealism fades as he is faced with the brutal reality of London 's gritty inner-city. However, his mission is finally realized in his devotion to the ""broken blossom"" Lucy Burrows, the beautiful but unwanted and abused daughter of boxer Battling Burrows. After being beaten and discarded one evening by her raging father, Lucy finds sanctuary in Cheng's home, the beautiful and exotic room above his shop. As Cheng nurses Lucy back to health, the two form a bond as two unwanted outcasts of society. All goes astray for them when Lucy's father gets wind of his daughter's whereabouts and in a drunken rage drags her back to their home to punish her. Fearing for her life, Lucy locks herself inside a closet to escape her contemptuous father. By the time Cheng arrives to rescue Lucy, whom he so innocently adores, it is too late. Lucy's lifeless body lies on her modest bed as Battling has a drink in the other room. As Cheng gazes at Lucy's youthful face which, in spite of the circumstances, beams with innocence and even the slightest hint of a smile, Battling enters the room to make his escape. The two stand for a long while, exchanging spiteful glances, until Battling lunges for Cheng with a hatchet, and Cheng retaliates by shooting Burrows repeatedly with his handgun. After returning to his home with Lucy's body, Cheng builds a shrine to the Buddha and takes his own life with a knife to the chest."
tt0011012,Bodakungen,1920.0,['Drama'],"['nm0251622', 'nm0658064', 'nm0377429', 'nm0258214', 'nm0405852']",103.0,5.5,,,37.0,,,
tt0011013,Bomben,1920.0,[],"['nm0252472', 'nm0117313', 'nm0870929', 'nm0039377', 'nm0038089']",65.0,,,,,,,
tt0011014,Bonnie Bonnie Lassie,1919.0,['Comedy'],"['nm0014894', 'nm0124877', 'nm0136886', 'nm0877548']",60.0,,Silent with English intertitles,United States,,,,"Bonnie, Bonnie Lassie is a lost [ 1 ] 1919 American comedy film directed by Tod Browning . [ 2 ]"
tt0011027,Bright Skies,1920.0,['Drama'],"['nm0302802', 'nm0695466', 'nm0216575', 'nm0105671']",60.0,,,,,,,
tt0011030,Broadway and Home,1920.0,['Drama'],"['nm0639545', 'nm0177330', 'nm0521310', 'nm0449144']",60.0,,Silent ( English intertitles),United States,,,,"Broadway and Home is a 1920 American silent drama film directed by Alan Crosland and starring Eugene O'Brien , Elinor Fair and Warren Cook . [ 1 ]"
tt0011039,Burning Daylight,1920.0,['Drama'],"['nm0507568', 'nm0597995', 'nm0020251', 'nm0423424', 'nm0092780']",60.0,,Silent (English intertitles ),United States,,,,"Burning Daylight is a 1920 American silent drama film directed by Edward Sloman with Mitchell Lewis , Helen Ferguson , and William V. Mong starring. It was distributed by Metro Pictures . [ 1 ] [ 2 ] It is based on the 1910 Jack London novel of the same name . A subsequent version, Burning Daylight was filmed in 1928 by First National Pictures . It starred Milton Sills and Doris Kenyon ."
tt0011985,Bob Hampton of Placer,1921.0,['Drama'],"['nm0456804', 'nm0058191', 'nm0641776', 'nm0001935', 'nm0500212']",80.0,,Silent (English intertitles ),United States,,,,"Bob Hampton of Placer is a 1921 American silent drama film directed by Marshall Neilan and written by Marion Fairfax . It is based on the 1910 novel Bob Hampton of Placer by Randall Parrish . The film stars James Kirkwood Sr. , Wesley Barry , Marjorie Daw , Pat O'Malley , Noah Beery Sr. , and Frank Leigh . The film was released on May 1, 1921, by Associated First National Pictures . [ 1 ] [ 2 ] [ 3 ] [ 4 ]"
tt0011997,Breaking Through,1921.0,"['Drama', 'Western']","['nm0531962', 'nm0397661', 'nm0734787', 'nm0822481', 'nm1144360']",300.0,,,,,,,
tt0011998,Brewster's Millions,1921.0,['Comedy'],"['nm0000779', 'nm0403151', 'nm0180981', 'nm0644728', 'nm0250240']",61.0,7.0,,,54.0,,,
tt0012012,Bucking the Tiger,1921.0,['Drama'],"['nm0853604', 'nm0416527', 'nm0497372', 'nm0942412', 'nm0768283']",60.0,,Silent English intertitles,United States,,,,"Five down on their luck miners meet at Eslick's Grand Palace Hotel in Circle, Alaska and discuss how they can recoup from their losses. Emily Dwyer uproots herself and moves to Alaska to marry Graham. Upon finding that he is broke, Emily tries to commit suicide and is saved by MacDonald, a former star football player. McDonald suggests to the group that they draw cards and buy an insurance policy premium on whomever draws the ace. Said person will commit suicide at the end of the year, thus allowing the rest to collect the money. MacDonald purposefully draws the ace card in order that Emily get the money from the premium.Before the year's end he discovers a vein of gold at his mine and abandons the plan, convinces the others to share in his newfound wealth, and starts romancing Emily. [ 3 ] [ 4 ]"
tt0012014,Bunty Pulls the Strings,1921.0,['Comedy'],"['nm0801193', 'nm0369058', 'nm0484812', 'nm0272392', 'nm0750769']",70.0,,Silent (English intertitles ),United States,,,,"Bunty Biggar, sister of Rab and Jeemy, lives with her brothers and her father Tammas in a small Scottish village. One day, Jeemy confesses to having robbed a bank and asks his father to help him put the money back where it belongs. Tammas then takes the money entrusted to him by Susie Simpson, a spinster who has designs on him. But Susie, listening to a telephone conversation between Tammas and Eelen, an old friend of hers, discovers the man's embezzlement. Susie now demands to get all her money back immediately. Having not returned it, Tammas is pilloried by Susie, who denounces the crime in the church in front of the whole community. Bunty intercedes for her father and returns the money lent to her by Weelum. The latter, in love with Bunty, takes her as his wife: the wedding is celebrated with a double ceremony, which also sees Tammas and Eelen in front of the altar."
tt0012016,Buried Treasure,1921.0,"['Adventure', 'Fantasy', 'Romance']","['nm0449908', 'nm0449908', 'nm0709856', 'nm0709856', 'nm0770844']",70.0,5.9,Silent (English intertitles ),United States,200.0,,,"Strung around the idea of reincarnation, this film goes back in time to the days of the Spanish galleons and pirates burying their treasure; treasure to be found centuries later."
tt0012017,Burn 'Em Up Barnes,1921.0,"['Action', 'Adventure', 'Comedy']","['nm0385686', 'nm0106785', 'nm0269493', 'nm0792727', 'nm0079490']",60.0,6.5,Silent English intertitles,United States,66.0,,,"Burn 'Em Up Barnes is a 1921 American silent comedy action film directed by George Beranger and starring Johnny Hines , Edmund Breese and George Fawcett . [ 1 ] It was loosely remade as a 1934 film of the same title ."
tt0012961,Boomerang Bill,1922.0,"['Action', 'Adventure', 'Crime']","['nm0000859', 'nm0788284', 'nm0079490', 'nm0266745', 'nm0497372']",60.0,1.5,Silent (English intertitles ),United States,26.0,,,"Boomerang Bill is an extant 1922 American silent crime melodrama film produced by Cosmopolitan Productions and distributed through Paramount Pictures . Adapted from a Boston Blackie short story by Jack Boyle, [ 1 ] it was directed by Tom Terriss and stars veteran actor Lionel Barrymore . It is preserved incomplete at the Library of Congress and George Eastman House . [ 2 ] [ 3 ] [ 4 ] [ 5 ] [ 6 ]"
tt0012965,Borderland,1922.0,"['Drama', 'Fantasy']","['nm0798130', 'nm0403151', 'nm0335864', 'nm0272392', 'nm0497279']",60.0,,Silent (English intertitles ),United States,,,,"Borderland is a 1922 American silent drama film directed by Paul Powell and written by Beulah Marie Dix . The film stars Agnes Ayres , Milton Sills , Fred Huntley , Bertram Grassby , Casson Ferguson , Ruby Lafayette, and Sylvia Ashton . The film was released on July 20, 1922, by Paramount Pictures . [ 1 ] [ 2 ]"
tt0012968,Bought and Paid For,1922.0,['Drama'],"['nm0392442', 'nm0383199', 'nm0476659']",60.0,,Silent (English intertitles ),United States,,,,"As described in a film magazine , [ 3 ] self-made millionaire Robert Stafford (Holt) finds to his own surprise that he is falling in love with a young woman working at a hotel switchboard. Virginia Blaine (Ayres) is flattered by his attentions and when she consents to marry him, she is not in love with him. Her sister Fanny (Wyant), who is engaged to James Gilley (Hiers), is eager for Virginia to consent as it means comfort and luxury for all. Robert is patient with his wife and she at length learns to love him. Two years pass and there is but one cloud to her happiness, and that is Robert's drinking. When intoxicated he forgets the consideration due his wife. On a night when her sister Fanny and James have been to the opera with Virginia, Robert comes home intoxicated and, when his wife repulses him, he breaks in her door. Ashamed and repentant the next day, he tries to make amends by presenting a diamond bracelet to his wife. She refuses it, reminding him that during the previous night he said that she was his, ""bought and paid for."" She tells him that she is going to leave unless he promises never to drink again, but he refuses to make such a promise. When she leaves, he says that he will come when she sends for him, but she says that she will never do that and that he must come to her. James loses his $200 a week position and Virginia has to go to work. James takes things into his own hands and telephones Robert saying that Virginia wants him. Robert, lonely and eager for reconciliation, flies to Virginia. While the truth about James' call comes out, Robert tells Virginia that he has given up drink, bringing about an understanding between them. James also gets his position back."
tt0012971,Brawn of the North,1922.0,"['Action', 'Drama', 'Family']","['nm1237575', 'nm0795884', 'nm0056851', 'nm0543368', 'nm0399216']",80.0,,Silent (English intertitles ),United States,,,,Brawn of the North is a lost [ 2 ] 1922 American silent Northwoods film. It was produced by Laurence Trimble and Jane Murfin with release through Associated First National Pictures . The film stars Irene Rich and a new canine find by Trimble named Strongheart . [ 1 ] This was the second film starring the dog after his introduction in The Silent Call (1921). The film is now considered lost.
tt0012972,Breaking Home Ties,1922.0,['Drama'],"['nm0463335', 'nm0268316', 'nm0039021', 'nm0769835', 'nm0561613']",60.0,,Silent English intertitles,United States,,,,"David Bergmann is a young Russian Jew who flees to America after an unfortunate incident. He arrives in New York City on the Lower East Side , [ 2 ] where his university education in St. Petersburg enables him to become a successful lawyer. [ 2 ] David's parents and younger sister, who immigrate separately to New York from Russia, face more hardships. [ 2 ] They struggle to find their son, who has changed his surname to Berg. [ 2 ] David's father makes a meager income as a street vendor, and he and his aging wife cannot afford lodgings in a Jewish Aged Care Home. The film then focuses on the efforts of David and his family to find one another. [ 2 ]"
tt0012979,Broadway Rose,1922.0,"['Drama', 'Romance']","['nm0089524', 'nm0089266', 'nm0186440', 'nm0485274']",60.0,,Silent ( English intertitles ),United States,,,,"Broadway Rose is a 1922 American silent romantic drama film released by Metro Pictures and directed by Robert Z. Leonard . It stars Leonard's then-wife Mae Murray and Monte Blue . The film is based on an original story by Edmund Goulding written for star Murray, and was produced by Leonard's and Murray's production company Tiffany Pictures ."
tt0012980,Broken Chains,1922.0,"['Adventure', 'Drama', 'Romance']","['nm0570006', 'nm0868458', 'nm0546121', 'nm0649927', 'nm0697796']",70.0,4.8,Silent English intertitles,United States,24.0,,,"Wealthy Peter Wyndham is useless in attempting to prevent the theft of Hortense Allen's jewelry. A butler is killed during the robbery, and, unable to face his cowardice, Peter heads west. He takes a job working for his father's lumber mill. Meanwhile, elsewhere, Mercy Boone's newborn child has died. Boyan Boone, her husband, is callous towards the loss. He is a thug and ne'er-do-well, with a band of thieves working with him. When Mercy attempts to escape, she meets Peter before Boyan returns her to his cabin where he chains her. Peter finds her and they begin a romance under Boyan's nose. Boyan learns and beats up Peter, who summons the strength to fight him for the honor of Mercy."
tt0012983,Brothers Under the Skin,1922.0,['Comedy'],"['nm0641776', 'nm0449908', 'nm0354313']",60.0,,Silent (English intertitles ),United States,,,,"As described in a review in a film publication, [ 3 ] Newton Craddock, a shipping clerk who makes $30 per week, loves his wife Millie even though she is running him into debt through her extravagance. Thomas Kirtland has the same problem with his wife Dorothy even though he makes $30,000 per year. After a fight with his wife, Newton decides to kill himself but is stopped by some wharf workers. Newton is given $5 to deliver a package to the Kirtlands' apartment and, after finding the door open, lets himself in. He sees some of Dorothy's expensive gowns hanging there and exchanges them for the cheap gowns that he had purchased as a peace offering to his wife. He also helps himself to some liquor and sits down, only to find that the Kirtlands have returned home. Dorothy is suspicious of her husband and during an exchange of strong words notes the gowns. Newton then comes forward to explain what happened. Thomas refuses to be submissive any longer and dictates the new policy of the household. Newton returns to his home with the same strategy and finds his wife eager to bend to his will. Happiness then reigns in both households."
tt0012987,Burning Sands,1922.0,['Drama'],"['nm0798130', 'nm0128954', 'nm0646840', 'nm0356228', 'nm0330242']",70.0,,Silent (English intertitles ),United States,,,,"As described in a film magazine review, [ 4 ] a kindly old sheik is being deceived by his villainous son, who seeks to destroy his father by uniting with the enemy tribe. However, the plan is foiled by a young English philosopher who lives alone at the oasis. In the ensuing battle the villain is killed, leaving the way clear for the happy marriage of the philosopher and the young woman he loves."
tt0013879,Boman på utställningen,1923.0,['Drama'],"['nm0679585', 'nm0278997', 'nm0252318', 'nm0147763', 'nm0526224']",76.0,6.7,Silent Swedish intertitles,Sweden,17.0,,,"Boman at the Exhibition (Swedish: Boman på utställningen ) is a 1923 Swedish silent comedy film directed by Karin Swanström and starring Swanström, Georg Blomstedt , Wiktor Andersson and Ingeborg Strandin . [ 1 ] [ 2 ] It was shot at the Råsunda Studios in Stockholm and on location in Gothenburg . The film's sets were designed by the art director Vilhelm Bryde ."
tt0013884,Boy of Mine,1923.0,"['Drama', 'Family']","['nm0018273', 'nm0271503', 'nm0910400', 'nm0508929', 'nm0413511']",70.0,,Silent (English intertitles ),United States,,,,"As described in a film magazine review, [ 3 ] young Bill Latimer is wrecking his father's nerves with his boyish pranks. The father does not rightly understand the lad, and, when he punishes him for his unwitting disobedience, Bill runs away. He is brought back home by Dr. Robert Mason, who saves Bill from some kidnappers. Bill's mother leaves the home with her son. This separation makes the father realizes his mistakes, leading to a resolution for the whole family."
tt0013886,Brass,1923.0,"['Drama', 'Romance']","['nm0089524', 'nm0616729', 'nm0444641', 'nm0149477', 'nm0641776']",60.0,6.3,Silent (English intertitles ),United States,35.0,,,"As described in a film magazine review, [ 4 ] a young man born in the country leaves his family farm to engage in business in the city. He marries for the first time when he is still very young, finds the match a failure, gets a divorce, and starts life again. The hopelessness of life as far as a happy marriage is concerned forces itself on the young man, whose only brief period of happiness was enjoyed when he was living with a woman who really loves him and sacrifices for him."
tt0013891,Bright Lights of Broadway,1923.0,['Drama'],"['nm0001230', 'nm0106785', 'nm0792514', 'nm0614879', 'nm0694362']",70.0,6.3,Silent ( English intertitles ),United States,21.0,,,"Bright Lights of Broadway is a surviving 1923 American silent drama film directed by Webster Campbell . An independent film it stars Doris Kenyon , Harrison Ford , and Lowell Sherman . [ 1 ] A print of Bright Lights of Broadway survives with the Library of Congress . [ 2 ]"
tt0013894,Broadway Broke,1923.0,['Drama'],"['nm0549385', 'nm0203300', 'nm0033446', 'nm0363202', 'nm0247305']",60.0,,Silent (English intertitles ),United States,,,,"Broadway Broke is a 1923 American silent drama film directed by J. Searle Dawley and starring Mary Carr , Percy Marmont , and Gladys Leslie . [ 1 ] [ 2 ] A struggling former Broadway actress tries to restart her career by turning to playwriting."
tt0013895,Broadway Gold,1923.0,['Drama'],"['nm0223296', 'nm0915626', 'nm0329467', 'nm0057889', 'nm0624714']",70.0,,Silent (English intertitles ),United States,,,,"Broadway Gold is a 1923 American silent drama film directed by Edward Dillon and starring Elaine Hammerstein , Elliott Dexter , and Kathlyn Williams . [ 1 ] The film's sets were designed by the art director Cedric Gibbons ."
tt0013896,Broken Hearts of Broadway,1923.0,['Drama'],"['nm0907885', 'nm0551222', 'nm0354878', 'nm0581050', 'nm0401405']",81.0,6.1,Silent (English intertitles ),United States,97.0,,,"Broken Hearts of Broadway is a 1923 American silent drama film produced and directed by Irving Cummings and starring Colleen Moore , Johnnie Walker , and Alice Lake . It is based on a 1917 play Broken Hearts of Broadway by James Kyrle McCurdy . [ 1 ] [ 2 ]"
tt0014730,Born Rich,1924.0,['Comedy'],"['nm0529313', 'nm0484812', 'nm0604656', 'nm0792727', 'nm0653037']",80.0,,Silent (English intertitles ),United States,,,,"As described in a review in a film magazine, [ 4 ] leaving her palatial home and fast set of wealthy friends, Chadyeane goes to France where her baby is born. During her absence, Frances makes such a strong play for Jimmy that Major Murphy writes a warning letter to Chad about her husband. Chad returns and misinterprets the meaning of a suitcase in her boudoir which Frances had inadvertently left there while changing her riding habit. Chad then affects a love affair with Jack, one of the fast crowd, ruling that married couples should travel on a 50-50 basis in all things. Many times Chad threatens to, and almost does, elope with Jack when her husband further compromises himself, mostly through inadvertences, with the butterfly, Frances. Eugene Magnin, Jimmy's associate, in love with Frances, financially ruins Fairfax when the latter, in a drunken stupor, gives him power of attorney. Believing that they are ""broke,"" Jimmy suddenly undergoes a rejuvenation. He spanks his wife, dresses his impudent child in overalls, and becomes generally aggressive. Major Murphy has saved Jimmy from bankruptcy, but Mrs. Fairfax, under the impression that her husband is now poor, forgives the suitcase incident and other similar incidents, abandons her affected love affair, and everything winds up happily."
tt0014731,Borrowed Husbands,1924.0,"['Comedy', 'Drama']","['nm0271503', 'nm0930504', 'nm0330217', 'nm0511087', 'nm0410283']",70.0,,Silent (English intertitles ),United States,,,,"As described in a film magazine review, [ 2 ] Nancy Burrard's husband Gerard goes on a business trip to South America and she beguiles the lonely hours by borrowing a few husbands for flirtations purposes, and engaging in a flirtation with Major Desmond, who supposes her to be a widow. He meets her husband in South America, where the truth is made known to him. Many complications result through the philandering of Dr. Langwell with various married women and a nurse, who dies under suspicious circumstances. The martial troubles of the different wives are finally dispelled, and Nancy and her husband are reconciled so that all ends well."
tt0014737,Bread,1924.0,['Drama'],"['nm0292537', 'nm0641776', 'nm0098376', 'nm0186440', 'nm0498063']",70.0,,Silent (English intertitles ),United States,,,,"Bread is a 1924 American drama film directed by Victor Schertzinger . Based on the best-selling novel of the same name by Charles G. Norris , the film stars Mae Busch . [ 1 ] [ 2 ]"
tt0014744,Broadway After Dark,1924.0,['Comedy'],"['nm0579663', 'nm0122652', 'nm0521919', 'nm0503777', 'nm0703869']",70.0,,Silent (English intertitles ),United States,,,,"As described in a film magazine review, [ 5 ] Rose Dulane, a waitress at a restaurant, is fascinated by a man to whom she confides that she is guilty of a petty theft. He is a detective and arrests her. She serves time and, upon release, finally lands a job in a minor theatrical boarding house. There she meets Ralph Norton, a well-to-do Broadway rounder, having a look at life in a less luxurious atmosphere. Norton is attracted by Rose and they attend the Actors' Equity ball. He proves to be her friend, rescues her from the detective's persecutions, and wins her love."
tt0014745,Broadway or Bust,1924.0,"['Comedy', 'Romance']","['nm0316995', 'nm0953136', 'nm0923657', 'nm0538984']",60.0,,Silent English intertitles,United States,,,,Broadway or Bust is a 1924 American silent Western comedy film directed by Edward Sedgwick and starring Hoot Gibson . It was produced and distributed by Universal Pictures . [ 1 ] [ 2 ]
tt0014746,Broken Barriers,1924.0,['Drama'],"['nm0456804', 'nm0579663', 'nm0269493', 'nm0013149', 'nm0292537']",60.0,,Silent (English intertitles ),United States,,,,"Grace Durland (Shearer) is a young debutante who is forced to leave college when her father goes bankrupt. While working for a living, she falls in love with Ward Trenton (Kirkwood) who is married. As she reveals her love for a married man to her family, the reaction is very negative. Ward's evil wife refuses to grant him a divorce. This changes when he is injured in a car accident."
tt0014747,Broken Laws,1924.0,['Drama'],"['nm0549385', 'nm0908823', 'nm0710233', 'nm0601706', 'nm0382974']",70.0,,Silent (English intertitles ),United States,,,,"As described in a review in a film magazine, [ 3 ] Christmas Eve finds Ralph Allen (Wallace) breaking the speed laws and eluding the police. In his car are his son Bobby (Moore) and Patsy Heath (Walsh), the daughter of a neighbor. The Allens go to a jazz party at the Heaths. Bobby has declared that there is no Santa Claus and has ruined the Christmas tree, climbs out of the house and goes to the Allens to watch the party. He and Patsy are trying to imitate the adults when they are discovered. Bobby is taken back home, and exposes himself to the rain for spite and becomes ill. When he recovers, his mother spoils him and he gets into trouble at school. When eighteen, his mother buys Bobby (Rankin) a car and he begins to lead a wild life, exerting a bad influence on Patsy (Corbin). Finally, his mother and Patsy's father (Marmont) go to rescue them from a questionable roadhouse . Speeding home, Bobby speeds and runs into a wagon, killing an old woman. He is tried and convicted of manslaughter . His mother realizes that she is also guilty as she indulged him and never taught him to respect the law or authority. Suddenly, she awakes and finds that the killing was just a dream. Calling Bobby to her room, she gives him a sound spanking and sends him back to school to apologize."
tt0014752,Butterfly,1924.0,"['Drama', 'Romance']","['nm0363218', 'nm0449908', 'nm0336391', 'nm0939706', 'nm0055797']",80.0,6.9,Silent (English intertitles ),United States,35.0,,,"Butterfly is an extant 1924 American silent romantic drama film feature, directed by Clarence Brown and starring Kenneth Harlan , Laura La Plante , and Norman Kerry . It was produced and distributed by Universal Pictures . [ 1 ] [ 2 ] [ 3 ] The film was based on the novel by Kathleen Norris ."
tt0014753,By Divine Right,1924.0,['Drama'],"['nm0709856', 'nm0223296', 'nm0102718', 'nm0421138']",70.0,,Silent (English intertitles),United States,,,,Mildred a young stenographer takes shelter at a mission run by Austin Farrol after escaping from attempts to seduce her by her unscrupulous employer Trent.
tt0015632,Bobbed Hair,1925.0,['Comedy'],"['nm0363218', 'nm0733943', 'nm0398139', 'nm0366742', 'nm0519227']",80.0,6.6,Silent (English intertitles ),United States,90.0,,,"As described in a review in a film magazine, [ 2 ] Connemara Moore has two suitors. One likes bobbed hair , the other does not. In escaping from both she enters the car of David Lacy, a stranger, which proves to have been stolen from bootleggers and is swept into a succession of situations including an attack by hijackers, a fight in a private yacht, and rescue by David – who takes Connemara to his home. Eventually it turns out that David was looking for adventure and Connemara has become enmeshed in a trap set by revenue officers. When the time for a show-down comes, she has only one side of her hair bobbed, and this means she has chosen David."
tt0015634,Body and Soul,1925.0,"['Crime', 'Drama', 'Thriller']","['nm0732079', 'nm0732079', 'nm0737074', 'nm0155479', 'nm0018319']",102.0,6.2,Silent film English intertitles,United States,1339.0,,,"An escaped convict finds refuge in the predominantly African-American town of Tatesville, Georgia, by passing himself off as the Rt. Reverend Isaiah T. Jenkins. Jenkins is joined in town by a fellow criminal, and the pair scheme to swindle the phony reverend's congregation of their offerings. Jenkins takes a fancy to a young member of his congregation, Isabelle Perkins, even though she is in love with a poor young man named Sylvester, who happens to be Jenkins' long-estranged identical twin brother. Martha Jane, Isabelle's mother, schemes to marry her daughter to the reverend, and leaves them alone together. On her return, Isabelle is in tears. Later, Isabelle flees to Atlanta , apparently with her mother's savings. Months later she dies in poverty, just as her mother locates her. Before dying, Isabelle reveals to her mother that Jenkins had raped her and that he was the one who took her mother's money, and convinced the young woman to take the blame for his crime. She explains that she did not speak up before because she knew her mother would not believe her accusations against a man of God. [ 4 ] Returning to Tatesville, Martha Jane confronts Jenkins in front of the congregation. Jenkins flees and during a twilight struggle he kills a man who tries to bring him to justice."
tt0015641,Boy,1926.0,['Drama'],"['nm0649563', 'nm0760646', 'nm0140054', 'nm0776914', 'nm0350244']",72.0,,Silent (English intertitles ),United States,,,,"Comedy about a small-town girl unhappy with her family, and a boy trying to please her by throwing a big party."
